"Simple Dropdown","Simple Dropdown",module,MageBig_SmartMenu
"Mega Dropdown","Mega Dropdown",module,MageBig_SmartMenu
"Group Dropdown","Group Dropdown",module,MageBig_SmartMenu
8.3%,8.3%,module,MageBig_SmartMenu
16.6%,16.6%,module,MageBig_SmartMenu
25.0%,25.0%,module,MageBig_SmartMenu
33.3%,33.3%,module,MageBig_SmartMenu
41.6%,41.6%,module,MageBig_SmartMenu
50.0%,50.0%,module,MageBig_SmartMenu
Categories,Categories,module,MageBig_SmartMenu
"Shop By Department","Shop By Department",module,MageBig_SmartMenu
"Incorrect CAPTCHA.","Incorrect CAPTCHA.",module,MageBig_SocialLogin
"Data error. Please try again.","Data error. Please try again.",module,MageBig_SocialLogin
"Please make sure your passwords match.","Please make sure your passwords match.",module,MageBig_SocialLogin
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.",module,MageBig_SocialLogin
"Create an account successfully. Please wait...","Create an account successfully. Please wait...",module,MageBig_SocialLogin
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.",module,MageBig_SocialLogin
"We can't save the customer.","We can't save the customer.",module,MageBig_SocialLogin
"Please correct the email address.","Please correct the email address.",module,MageBig_SocialLogin
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password.",module,MageBig_SocialLogin
"We're unable to send the password reset email.","We're unable to send the password reset email.",module,MageBig_SocialLogin
"New User","New User",module,MageBig_SocialLogin
"Email is Null, Please enter email in your %1 profile","Email is Null, Please enter email in your %1 profile",module,MageBig_SocialLogin
"Ooophs, we got an error: %1","Ooophs, we got an error: %1",module,MageBig_SocialLogin
"Email is Null","Email is Null",module,MageBig_SocialLogin
"Email already exists","Email already exists",module,MageBig_SocialLogin
Success!,Success!,module,MageBig_SocialLogin
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website.",module,MageBig_SocialLogin
Default,Default,module,MageBig_SocialLogin
Orange,Orange,module,MageBig_SocialLogin
Green,Green,module,MageBig_SocialLogin
Black,Black,module,MageBig_SocialLogin
Blue,Blue,module,MageBig_SocialLogin
"Dark Blue","Dark Blue",module,MageBig_SocialLogin
Pink,Pink,module,MageBig_SocialLogin
Red,Red,module,MageBig_SocialLogin
Violet,Violet,module,MageBig_SocialLogin
Custom,Custom,module,MageBig_SocialLogin
Zoom,Zoom,module,MageBig_SocialLogin
Newspaper,Newspaper,module,MageBig_SocialLogin
"Horizontal move","Horizontal move",module,MageBig_SocialLogin
"Move from top","Move from top",module,MageBig_SocialLogin
"3D unfold","3D unfold",module,MageBig_SocialLogin
Zoom-out,Zoom-out,module,MageBig_SocialLogin
"-- Please Select --","-- Please Select --",module,MageBig_SocialLogin
"Customer Login Page","Customer Login Page",module,MageBig_SocialLogin
"Customer Create Page","Customer Create Page",module,MageBig_SocialLogin
"Social Popup Login","Social Popup Login",module,MageBig_SocialLogin
"Customer Authentication Popup","Customer Authentication Popup",module,MageBig_SocialLogin
"Login By %1","Login By %1",module,MageBig_SocialLogin
"Sign in with %1","Sign in with %1",module,MageBig_SocialLogin
"Proceed to Checkout","Proceed to Checkout",module,MageBig_SocialLogin
"Sign In","Sign In",module,MageBig_SocialLogin
"* Required Fields","* Required Fields",module,MageBig_SocialLogin
Email,Email,module,MageBig_SocialLogin
Password,Password,module,MageBig_SocialLogin
"Forgot Your Password?","Forgot Your Password?",module,MageBig_SocialLogin
Forgot?,Forgot?,module,MageBig_SocialLogin
Login,Login,module,MageBig_SocialLogin
"Create New Account?","Create New Account?",module,MageBig_SocialLogin
Or,Or,module,MageBig_SocialLogin
"Create New Account","Create New Account",module,MageBig_SocialLogin
"Sign Up for Newsletter","Sign Up for Newsletter",module,MageBig_SocialLogin
"Street Address","Street Address",module,MageBig_SocialLogin
Address,Address,module,MageBig_SocialLogin
"Street Address %1","Street Address %1",module,MageBig_SocialLogin
City,City,module,MageBig_SocialLogin
State/Province,State/Province,module,MageBig_SocialLogin
"Please select a region, state or province.","Please select a region, state or province.",module,MageBig_SocialLogin
"Zip/Postal Code","Zip/Postal Code",module,MageBig_SocialLogin
Country,Country,module,MageBig_SocialLogin
"Password Strength","Password Strength",module,MageBig_SocialLogin
"No Password","No Password",module,MageBig_SocialLogin
"Confirm Password","Confirm Password",module,MageBig_SocialLogin
"Create an Account","Create an Account",module,MageBig_SocialLogin
"Go back","Go back",module,MageBig_SocialLogin
"Real email address is required to social networks","Real email address is required to social networks",module,MageBig_SocialLogin
"Please enter your email address below to create account.","Please enter your email address below to create account.",module,MageBig_SocialLogin
Submit,Submit,module,MageBig_SocialLogin
"Forgot Password","Forgot Password",module,MageBig_SocialLogin
"Please enter your email address below to receive a password reset link.","Please enter your email address below to receive a password reset link.",module,MageBig_SocialLogin
"Reset My Password","Reset My Password",module,MageBig_SocialLogin
"JQuery Selector","JQuery Selector",module,MageBig_SyntaxCms
Type,Type,module,MageBig_SyntaxCms
Comment,Comment,module,MageBig_SyntaxCms
Add,Add,module,MageBig_SyntaxCms
Name,Name,module,MageBig_SyntaxCms
Value,Value,module,MageBig_SyntaxCms
"No update","No update",module,MageBig_SyntaxCms
"-- Please Select --","-- Please Select --",module,MageBig_SyntaxCms
"File is empty","File is empty",module,MageBig_SyntaxCms
"File not found","File not found",module,MageBig_SyntaxCms
"HTML + Magento Markup","HTML + Magento Markup",module,MageBig_SyntaxCms
HTML,HTML,module,MageBig_SyntaxCms
PHP,PHP,module,MageBig_SyntaxCms
CSS,CSS,module,MageBig_SyntaxCms
XML,XML,module,MageBig_SyntaxCms
"Convert images to webP by path (path to folder)","Convert images to webP by path (path to folder)",module,MageBig_WebP
"Something went wrong. %1","Something went wrong. %1",module,MageBig_WebP
"Provided path is %1","Provided path is %1",module,MageBig_WebP
"Converting images in folder %1","Converting images in folder %1",module,MageBig_WebP
"Images have been converted successful.","Images have been converted successful.",module,MageBig_WebP
"MageBig WebP extension is disabled. Please enable the module in ""Stores > Configuration > MageBig Extensions > WebP"" to use this command.","MageBig WebP extension is disabled. Please enable the module in ""Stores > Configuration > MageBig Extensions > WebP"" to use this command.",module,MageBig_WebP
"Cache has been cleaned successfully","Cache has been cleaned successfully",module,MageBig_WebP
"Can't delete folder pub/media/webps, please try to remove this folder manually","Can't delete folder pub/media/webps, please try to remove this folder manually",module,MageBig_WebP
"Please enable the extension in Stores > Configuration > Magebig Extensions > WebP","Please enable the extension in Stores > Configuration > Magebig Extensions > WebP",module,MageBig_WebP
